"match_id","team_id","home_away","goals","xG"
237,71,"h",0,1.0088999606669
237,83,"a",2,1.68498350307345
238,76,"a",2,0.835885420441628
238,87,"h",2,2.12603091262281
239,82,"h",1,1.04200642183423
239,86,"a",2,1.55251510441303
240,75,"h",2,0.7088463017717
240,80,"a",1,2.26886648405343
241,73,"a",2,1.89257722720504
241,76,"h",1,0.698255376890301
242,74,"h",0,0.83384957164526
242,82,"a",2,1.47452670522034
243,78,"a",2,1.95860154181719
243,85,"h",1,2.41899664327502
244,77,"a",1,1.25166839547455
244,80,"h",3,3.02023431658745
245,72,"h",2,1.93538148701191
245,75,"a",3,2.02911515720189
246,79,"a",2,0.562545195221901
246,89,"h",1,1.01393679529428
247,71,"a",1,0.404373306781054
247,86,"h",1,1.28189328685403
248,87,"a",0,0.376313141547143
248,90,"h",3,1.99336431361735
249,81,"a",0,0.401988197118044
249,84,"h",0,0.979500204324722
250,83,"h",2,1.50108977407217
250,88,"a",1,0.770768601447344
251,85,"h",2,1.18350311741233
251,89,"a",0,1.28961038962007
252,76,"a",0,0.554582584649324
252,84,"h",1,1.32655909471214
253,79,"a",0,0.456644411198795
253,82,"h",3,2.41954032331705
254,71,"h",1,1.61325072497129
254,81,"a",1,0.853692099452019
255,73,"h",0,0.871395297348499
255,78,"a",0,0.406660709530115
256,80,"h",2,2.09356325492263
256,90,"a",1,1.67703979462385
257,75,"a",0,0.505167104303836
257,87,"h",1,1.37994748726487
258,77,"a",1,1.20744145847857
258,88,"h",4,3.55320716649294
259,72,"a",1,1.72157115489245
259,86,"h",0,1.3884247764945
260,74,"h",4,2.4302992746234
260,83,"a",0,0.833064693957567
261,76,"h",1,2.14264980237931
261,86,"a",0,0.456188794225454
262,82,"a",2,0.527246496640145
262,90,"h",1,1.13434357941151
263,71,"a",0,0.235873501747846
263,79,"h",2,1.10464463569224
264,78,"h",0,0.749486988410353
264,84,"a",0,0.169425001367927
265,72,"h",3,2.24720361456275
265,85,"a",4,1.58158919587731
266,73,"a",0,0.3437519967556
266,83,"h",2,3.15861501544714
267,80,"a",0,0.905142888426781
267,89,"h",0,1.35212716832757
268,74,"a",0,1.37547227740288
268,81,"h",2,1.95517322979867
269,75,"h",0,0.810377310961484
269,88,"a",0,1.67242176458239
270,77,"h",0,0.48155149910599
270,87,"a",1,1.81685972586274
271,81,"h",2,2.18022527638823
271,87,"a",0,1.92103710584342
272,76,"h",2,1.73231989145279
272,85,"a",1,0.917526069097221
273,83,"h",1,1.93025577999652
273,86,"a",0,1.15338592417538
274,73,"a",0,1.25992159172893
274,75,"h",0,2.29078760929406
275,84,"a",1,0.542907007038593
275,89,"h",2,1.74265786260366
276,74,"a",0,0.932294893078505
276,79,"h",1,1.5050845593214
277,71,"a",1,0.27955979667604
277,77,"h",2,0.761224512010812
278,88,"a",2,0.692053807899356
278,90,"h",1,0.9853670950979
279,78,"h",0,0.546498090028763
279,80,"a",3,2.37469729781151
280,72,"h",1,0.721603398211301
280,82,"a",1,0.7590696150437
281,86,"h",3,1.82236502319574
281,89,"a",3,2.36369561869652
282,71,"h",0,0.551972396671772
282,78,"a",0,0.547912992537022
283,73,"h",1,0.72954599186778
283,81,"a",3,1.18941130302846
284,74,"h",2,1.72239840961993
284,90,"a",0,0.115429501049221
285,79,"a",1,0.193728104233742
285,85,"h",2,1.24456397257745
286,77,"a",3,2.52506089024245
286,84,"h",2,1.06526491325349
287,76,"a",2,0.704262801446021
287,80,"h",1,1.38531630113721
288,72,"a",0,0.369548199698329
288,88,"h",0,1.44957141391933
289,83,"a",3,2.22912196069956
289,87,"h",3,1.16480491310358
290,75,"a",1,0.593397503718734
290,82,"h",0,1.24792829994112
291,77,"a",1,0.617305720224977
291,82,"h",4,2.04054456204176
292,78,"a",0,0.61406659334898
292,88,"h",4,1.74214965384453
293,81,"a",1,1.08248266484588
293,86,"h",2,1.85904275160283
294,74,"h",3,1.43988242000341
294,76,"a",0,0.411400806158781
295,72,"a",2,1.59401029162109
295,80,"h",3,2.44864230509848
296,73,"h",3,2.53085771203041
296,79,"a",0,0.59619509242475
297,71,"h",1,0.665385534055531
297,75,"a",1,2.2351405993104
298,87,"h",0,0.952973716892301
298,89,"a",1,0.734595393761992
299,83,"a",0,0.585840910673141
299,85,"h",0,0.562879409641027
300,84,"h",1,0.474035200662911
300,90,"a",0,0.525478592142463
301,79,"h",4,1.03432331606746
301,87,"a",5,1.44943428970873
302,78,"h",0,0.936095587909221
302,82,"a",3,1.74368398450315
303,74,"a",1,0.835909293964505
303,89,"h",0,0.187216804362833
304,75,"h",3,2.25905627012253
304,85,"a",0,0.340482404455542
305,71,"a",0,0.562461405061186
305,76,"h",0,0.231839805841446
306,73,"a",1,1.26851420290768
306,77,"h",1,0.615478714928031
307,86,"a",1,1.29267080128193
307,90,"h",2,2.62828409858048
308,81,"h",2,1.01267187017947
308,88,"a",2,1.73181996680797
309,72,"h",0,1.96651162207127
